nome;id;base;Calorias;Proteína;Carboidrato;Energia;Colesterol;Lipídeos;Fibra Alimentar;Vitamina C;Ferro;Cálcio;Sódio;Magnésio;Potássio;Manganês;Fósforo;Cobre;Zinco;Retinol;Tiamina;Riboflavina;Piridoxina;Niacina;RE;RAE;Umidade
Abobrinha, paulista, crua;150;100;31;0,6;7,9;129.0;0;0,1;2,6;17,5;0,2;19;1;9;213;0,11;33;0,1;0,2;0;0;0;0,03;0;0;0;90,9
Abóbora, cabotian, cozida;202;100;48;1,4;10,8;201.0;0;0,7;2,5;7,5;0,3;8;1;9;199;0,26;33;0,06;0,3;0;0,08;0;0,07;0;0;0;86,4
Abóbora, cabotian, crua;483;100;39;1,7;8,4;161.0;0;0,5;2,2;5,1;0,4;18;0;9;351;0,11;26;0,06;0,3;0;0;0;0,1;0;446;446;88,5
Abóbora, menina brasileira, crua;266;100;14;0,6;3,3;57.0;0;0;1,2;1,5;0,2;9;0;4;165;0,01;12;0,02;0;0;0,07;0;0,04;0;1108;1108;95,7
Abóbora, moranga, crua;363;100;12;1;2,7;52.0;0;0,1;1,7;9,6;0;3;0;2;125;0,01;8;0,05;0,1;0;0;0;0,06;0;278;278;95,9
Abóbora, moranga, refogada;145;100;29;0,4;6;121.0;0;0,8;1,5;6,7;0,1;19;3;7;183;0,02;12;0,04;0,1;0;0,05;0;0,05;0;95;95;92,5
Acarajé;206;100;289;8,3;19,1;1210.0;25;19,9;9,4;0;1,9;124;305;51;354;0,59;142;0,23;1,2;0;0,06;0;0;0;0;0;50,5
Acelga, crua;77;100;21;1,4;4,6;88.0;0;0,1;1,1;22,6;0,3;43;1;10;240;0,11;40;0,1;0,3;0;0,04;0;0,16;0;0;0;93,2
Acerola, crua;344;100;33;0,9;8;140.0;0;0,2;1,5;941,4;0,2;13;0;13;165;0,07;9;0,07;0,1;0;0;0,04;0;1,38;247;247;90,5
Acerola, polpa, congelada;262;100;22;0,6;5,5;92.0;0;0;0,7;623,2;0,2;8;1;9;112;0,03;13;0,04;0,1;0;0;0,1;0;0;192;192;93,6
Achocolatado, pó;161;100;401;4,2;91,2;1678.0;0;2,2;3,9;0;5,4;44;65;77;496;0,55;200;0,56;1;796;1,38;1,02;1,52;4,99;0;0;1,1
Agrião, cru;426;100;17;2,7;2,3;69.0;0;0,2;2,1;60,1;3,1;133;7;18;218;0,28;51;0,1;0,7;0;0,11;0,23;0,09;1,19;458;458;93,9
Aipo, cru;489;100;19;0,8;4,3;80.0;0;0,1;1;5,9;0,7;65;10;9;274;0,18;28;0,31;0,1;0;0;0;0,18;0;916;916;93,8
Alface, americana, crua;269;100;9;0,6;1,7;37.0;0;0,1;1;11;0,3;14;7;6;136;0,12;19;0,02;0,2;0;0,03;0;0,04;0;0;0;97,2
Alface, crespa, crua;41;100;11;1,3;1,7;45.0;0;0,2;1,8;15,6;0,4;38;3;11;267;0,2;26;0,03;0,3;0;0,11;0,12;0;1,09;234;234;96,1
Alface, lisa, crua;203;100;14;1,7;2,4;58.0;0;0,1;2,3;21,4;0,6;28;4;9;349;0,33;26;0,03;0,3;0;0,09;0,08;0,07;0,75;368;368;95
Alface, roxa, crua;140;100;13;0,9;2,5;53.0;0;0,2;2;13,5;2,5;34;7;9;308;0,12;51;0,04;0,2;0;0;0;0;0;312;312;95,7
Alfavaca, crua;64;100;29;2,7;5,2;122.0;0;0,5;4,1;0;1,3;258;5;84;261;0,15;50;0,15;0,7;0;0;0,12;0,56;0;0;0;90,2
